ANO;MÊS;GRANDE REGIÃO;UNIDADE DA FEDERAÇÃO;PRODUTO;LOCALIZAÇÃO;PRODUÇÃO
1997;MAI;REGIÃO NORDESTE;CEARÁ;GÁS NATURAL;TERRA;74
1997;JUN;REGIÃO NORDESTE;CEARÁ;GÁS NATURAL;TERRA;78
1997;JUL;REGIÃO NORDESTE;CEARÁ;GÁS NATURAL;TERRA;76
1997;AGO;REGIÃO NORDESTE;CEARÁ;GÁS NATURAL;TERRA;80
1997;SET;REGIÃO NORDESTE;CEARÁ;GÁS NATURAL;TERRA;78
1997;OUT;REGIÃO NORDESTE;CEARÁ;GÁS NATURAL;TERRA;79
1997;NOV;REGIÃO NORDESTE;CEARÁ;GÁS NATURAL;TERRA;77
1997;DEZ;REGIÃO NORDESTE;CEARÁ;GÁS NATURAL;TERRA;86
1997;JAN;REGIÃO SUL;PARANÁ;GÁS NATURAL;TERRA;0
1997;FEV;REGIÃO SUL;PARANÁ;GÁS NATURAL;TERRA;0
1997;MAR;REGIÃO SUL;PARANÁ;GÁS NATURAL;TERRA;0
1997;ABR;REGIÃO SUL;PARANÁ;GÁS NATURAL;TERRA;0
1997;MAI;REGIÃO SUL;PARANÁ;GÁS NATURAL;TERRA;0
1997;JUN;REGIÃO SUL;PARANÁ;GÁS NATURAL;TERRA;0
1997;JUL;REGIÃO SUL;PARANÁ;GÁS NATURAL;TERRA;0
1997;AGO;REGIÃO SUL;PARANÁ;GÁS NATURAL;TERRA;0
1997;SET;REGIÃO SUL;PARANÁ;GÁS NATURAL;TERRA;0
1997;OUT;REGIÃO SUL;PARANÁ;GÁS NATURAL;TERRA;0
1997;NOV;REGIÃO SUL;PARANÁ;GÁS NATURAL;TERRA;0
1997;DEZ;REGIÃO SUL;PARANÁ;GÁS NATURAL;TERRA;0
1998;JAN;REGIÃO NORDESTE;SERGIPE;GÁS NATURAL;MAR;62680
1998;FEV;REGIÃO NORDESTE;SERGIPE;GÁS NATURAL;MAR;56021
1998;MAR;REGIÃO NORDESTE;SERGIPE;GÁS NATURAL;MAR;65150
1998;ABR;REGIÃO NORDESTE;SERGIPE;GÁS NATURAL;MAR;61945
1998;MAI;REGIÃO NORDESTE;SERGIPE;GÁS NATURAL;MAR;63476
1998;JUN;REGIÃO NORDESTE;SERGIPE;GÁS NATURAL;MAR;67484
1998;JUL;REGIÃO NORDESTE;SERGIPE;GÁS NATURAL;MAR;59957
1998;AGO;REGIÃO NORDESTE;SERGIPE;GÁS NATURAL;MAR;57333
1998;SET;REGIÃO NORDESTE;SERGIPE;GÁS NATURAL;MAR;59982
